"Country","Adults (thousands)","mean wealth per adult (USD)","median wealth per adult (USD)","% Adults with less than $10.000","% Adults between $10.000 - 100.000","% Adults between $100.000 - 1.000.000","% Adults over $1.000.000","Gini Index (%)","POPOLAZIONE","Adults with less than $10.000","Adults between $10.000 - 100.000","Adults between $100.000 - 1.000.000","Adults over $1.000.000"
"Slovakia","4,346","68,059","45,853","11.6","69.8","18.4","0.2","50.3","4346000","504136","3033508","799664","8692"
"South Africa","37,590","","","","","","","","","28,480","7,592","1,460","58"
"Spain","37,798","","","","","","","","","6,326","11,946","18,379","1,147"
"Sweden","7,794","","","","","","","","","2,650","1,432","3,142","570"
"Switzerland","6,958","","","","","","","","","825","2,346","2,752","1,035"
"Taiwan","19,633","","","","","","","","","2,719","7,578","8,727","609"
"Thailand","54,054","","","","","","","","","29,990","22,637","1,340","86"
"Turkey","57,768","","","","","","","","","33,262","22,406","1,984","115"
"United Kingdom","52,568","","","","","","","","","9,442","14,610","26,025","2,491"
"United States","249,969","","","","","","","","","65,808","71,120","91,089","21,951"
